,Actual Value,RF,GB,ST
6168,74.35999999999999,67.09767680253282,72.7770583479528,75.62540510925066
5802,69.25999999999999,68.97625580890112,73.72048673373946,70.57753088829777
6427,389.55,138.56563392883928,177.7163584564693,201.44404186574823
3399,45.93,63.335096205446305,56.51032840641817,57.60145667963196
1634,225.00000000000009,167.81102587658083,158.22211703451296,158.16742688753428
31,215.00000000000006,186.09068286716717,175.7991501965985,165.75151704672666
381,59.82999999999999,64.46982147552615,63.08316067388857,63.260936124554675
3989,167.30999999999995,170.78227231941995,154.09671156887202,149.76850411696847
4480,234.20999999999998,194.07588749824217,230.77954932197989,240.54357983910845
2163,52.09,55.8044385340244,48.91052246480233,50.12966578307373
2874,58.68000000000002,65.09661700890523,56.56853703377417,55.738595240840255
6586,43.75000000000001,58.10896441470966,49.69804772127602,48.76821972997772
2226,364.57999999999987,190.50445969676116,195.76666285901797,191.3977440070601
5638,73.41999999999999,67.51715810868102,65.88919157044039,65.90055050584408
4508,87.99999999999999,66.31972902428464,78.18691465691865,83.43106491848633
4084,138.06000000000003,139.3348415795644,142.29947610376004,137.8596603582834
5563,211.25000000000006,201.72163473192765,244.98945045966687,247.38347413878913
2410,166.87999999999994,172.54138771020234,213.4541817297072,219.2339198940697
3861,23.330000000000002,32.3194274207906,11.710203658955061,10.98763583017646
6568,71.58000000000003,64.91610868648169,69.50546690316907,70.00182078905182
3945,50.769999999999996,66.22261317212892,63.884340974256205,63.62249183478377
4722,268.74999999999994,180.41573529063635,200.18139951587145,214.6230863493169
4863,160.48000000000005,163.00514840239933,144.9119013732623,138.9485305577231
5180,238.80999999999992,177.95701393935997,227.83938714742476,242.73471412149695
3341,52.17,60.37786158321118,54.586876032800575,53.61439618958508
6082,122.81000000000002,163.48970160321988,122.31082220845076,111.0522693600646
1550,60.00000000000001,69.34241086177828,72.53017678394036,73.80319784975998
239,190.0,214.89118352407027,262.43818647292625,257.7177222126926
3463,41.04,58.637213615422816,48.02411479240261,47.27755293810932
2229,88.57000000000001,64.74834274545746,60.57304366770766,60.41813150549805
2890,78.89000000000003,129.75373780491893,84.1226017541655,76.20411785929744
1385,50.0,62.66497591894381,50.67852532046547,49.49378407396081
23,312.50000000000006,180.9361741914068,224.86097261453915,237.6475721451248
3185,68.49999999999997,65.47359734177816,56.81525615992795,57.21184879255729
